poll_utc,feed_utc,pass_id,node,target_utc,dt_sec,station,dish,activity,azimuth_deg,elevation_deg,wind_kmh,up_active_bands,up_x_power_kw,up_spacecraft,down_active_bands
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Goldstone,DSS14,Engineering Upgrades,0,90,,,,,
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Goldstone,DSS25,"Spacecraft Telemetry, Tracking, and Command",258,58,11,X,5.1,MRO,X;X
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Goldstone,DSS26,"Spacecraft Telemetry, Tracking, and Command",0,90,,,,,
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Goldstone,DSS24,"Spacecraft Telemetry, Tracking, and Command",128,54,11,S,,SOHO,S
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Madrid,DSS55,Engineering Upgrades,0,90,,,,,
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Canberra,DSS35,"Spacecraft Telemetry, Tracking, and Command",304,43,0,S,,LRO,S
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Canberra,DSS36,"Spacecraft Telemetry, Tracking, and Command",315,37,0,X,0.1,MMS1,S
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Canberra,DSS34,"Spacecraft Telemetry, Tracking, and Command",47,15,0,,,,
2026-08-01T18:56:27Z,2026-08-01T18:56:24+00:00,,,,,Canberra,DSS43,"Spacecraft Telemetry, Tracking, and Command",217,35,0,,,,
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Goldstone,DSS14,Engineering Upgrades,0,90,,,,,
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Goldstone,DSS25,"Spacecraft Telemetry, Tracking, and Command",280,28,2,,,,X;X
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Goldstone,DSS26,"Spacecraft Telemetry, Tracking, and Command",269,34,2,X,18,SPP,Ka
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Goldstone,DSS24,"Spacecraft Telemetry, Tracking, and Command",280,28,2,X,9.9,TGO,X
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Madrid,DSS55,Engineering Upgrades,0,90,,,,,
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Canberra,DSS43,"Spacecraft Telemetry, Tracking, and Command",208,19,0,,,,X
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Canberra,DSS36,"Spacecraft Telemetry, Tracking, and Command",24,27,0,S,,M20,
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Canberra,DSS35,"Spacecraft Telemetry, Tracking, and Command",62,12,0,,,,
2026-08-01T21:23:52Z,2026-08-01T21:23:47+00:00,144A,A,2026-08-01T21:33:52Z,-600,Canberra,DSS34,"Spacecraft Telemetry, Tracking, and Command",15,90,0,,,,
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Goldstone,DSS14,Engineering Upgrades,0,90,,,,,
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Goldstone,DSS25,"Spacecraft Telemetry, Tracking, and Command",280,28,12,,,,X
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Goldstone,DSS26,"Spacecraft Telemetry, Tracking, and Command",269,34,12,X,18,SPP,Ka
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Goldstone,DSS24,"Spacecraft Telemetry, Tracking, and Command",280,28,12,X,9.9,TGO,X
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Madrid,DSS55,Engineering Upgrades,0,90,,,,,
2026-08-01T21:24:52Z,2026-08-01T21:24:37+00:00,144A,A,2026-08-01T21:33:52Z,-540,Canberra,DSS43,"Spacecraft Telemetry, Tracking, and Command",208,18,0,,,,X
